Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
RandomForestClassifier,0.9703703703703703,0.9733333333333334,0.9733333333333334,0.970442382285069,0.16521239280700684
AdaBoostClassifier,0.9555555555555556,0.9583333333333333,0.9583333333333333,0.9556635734276034,0.26995229721069336
DecisionTreeClassifier,0.9555555555555556,0.9583333333333333,0.9583333333333333,0.9556635734276034,0.04137444496154785
ExtraTreesClassifier,0.9481481481481482,0.9483333333333333,0.9483333333333333,0.948188412495917,0.19530940055847168
XGBClassifier,0.9407407407407408,0.945,0.945,0.9409171075837742,0.22397184371948242
PassiveAggressiveClassifier,0.9333333333333333,0.9383333333333332,0.9383333333333334,0.9335389020428391,0.049997568130493164
BaggingClassifier,0.9333333333333333,0.9383333333333332,0.9383333333333334,0.9335389020428391,0.10200119018554688
LinearSVC,0.9333333333333333,0.9383333333333332,0.9383333333333334,0.9335389020428391,0.45438575744628906
LGBMClassifier,0.9333333333333333,0.9366666666666666,0.9366666666666666,0.9335172413793104,0.0702669620513916
HistGradientBoostingClassifier,0.9333333333333333,0.9366666666666666,0.9366666666666666,0.9335172413793104,6.727474212646484
ExtraTreeClassifier,0.9333333333333333,0.9366666666666666,0.9366666666666666,0.9335172413793104,0.031044960021972656
LogisticRegression,0.9333333333333333,0.935,0.9349999999999999,0.9334660693545711,0.05042529106140137
GradientBoostingClassifier,0.9259259259259259,0.9299999999999999,0.9299999999999999,0.9261463844797179,0.4889822006225586
RidgeClassifierCV,0.9185185185185185,0.925,0.9249999999999999,0.9187604229662617,0.08273863792419434
LogisticRegressionCV,0.9037037037037037,0.8983333333333333,0.8983333333333333,0.9031634720274271,0.5379464626312256
MLPClassifier,0.8888888888888888,0.8883333333333333,0.8883333333333333,0.8889751696341079,0.8665876388549805
CalibratedClassifierCV,0.8962962962962963,0.8866666666666667,0.8866666666666668,0.8948232323232324,1.830181360244751
Perceptron,0.8814814814814815,0.88,0.88,0.8814814814814815,0.0435032844543457
GaussianNB,0.8814814814814815,0.8683333333333334,0.8683333333333334,0.8787135041161733,0.03178977966308594
NearestCentroid,0.8592592592592593,0.8666666666666667,0.8666666666666667,0.8595993434260225,0.026702404022216797
NuSVC,0.8740740740740741,0.8633333333333333,0.8633333333333333,0.8720218309368689,0.0796976089477539
RidgeClassifier,0.8518518518518519,0.8566666666666667,0.8566666666666667,0.8523082942097028,0.04022479057312012
SGDClassifier,0.8666666666666667,0.8516666666666667,0.8516666666666667,0.8628359592215016,0.029010295867919922
SVC,0.8592592592592593,0.8483333333333334,0.8483333333333333,0.856965575752971,0.07815217971801758
LinearDiscriminantAnalysis,0.8222222222222222,0.825,0.825,0.8227513227513227,0.25582218170166016
BernoulliNB,0.7925925925925926,0.81,0.8099999999999999,0.7901234567901234,0.03847789764404297
GaussianProcessClassifier,0.6444444444444445,0.6783333333333333,0.6783333333333332,0.615075687364844,0.2174365520477295
LabelSpreading,0.5777777777777777,0.62,0.62,0.5163720308608226,0.05173516273498535
LabelPropagation,0.5777777777777777,0.62,0.62,0.5163720308608226,0.07594680786132812
KNeighborsClassifier,0.5703703703703704,0.6133333333333333,0.6133333333333333,0.5049394778266297,0.04049515724182129
QuadraticDiscriminantAnalysis,0.5777777777777777,0.5916666666666667,0.5916666666666667,0.5734999908228255,0.19140267372131348
DummyClassifier,0.5555555555555556,0.5,0.5,0.3968253968253968,0.03248238563537598
