Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreesClassifier,0.9619047619047619,0.9617198838896952,0.9617198838896952,0.961884012864405,0.17641282081604004
RandomForestClassifier,0.9619047619047619,0.9615384615384616,0.9615384615384616,0.9618354978354979,0.19405007362365723
LGBMClassifier,0.9428571428571428,0.9430333817126271,0.9430333817126271,0.9428467758656438,0.0800178050994873
HistGradientBoostingClassifier,0.9333333333333333,0.933599419448476,0.9335994194484761,0.9332970389861779,6.780107498168945
LogisticRegressionCV,0.9333333333333333,0.9334179970972424,0.9334179970972424,0.9333333333333333,0.6401424407958984
LogisticRegression,0.9238095238095239,0.9236211901306242,0.923621190130624,0.9237680257288101,0.07301473617553711
RidgeClassifierCV,0.9238095238095239,0.9234397677793904,0.9234397677793904,0.9236709956709955,0.08301782608032227
CalibratedClassifierCV,0.9142857142857143,0.9147314949201741,0.9147314949201742,0.9141299975344848,1.4483675956726074
XGBClassifier,0.9142857142857143,0.9141872278664731,0.9141872278664731,0.9142701595655047,0.21404027938842773
RidgeClassifier,0.9142857142857143,0.9140058055152395,0.9140058055152395,0.9141922842349766,0.04600381851196289
NearestCentroid,0.9142857142857143,0.9140058055152395,0.9140058055152395,0.9141922842349766,0.05001211166381836
LinearSVC,0.9142857142857143,0.9140058055152395,0.9140058055152395,0.9141922842349766,0.5974197387695312
PassiveAggressiveClassifier,0.9142857142857143,0.9138243831640058,0.9138243831640058,0.914051714051714,0.04301118850708008
BaggingClassifier,0.9142857142857143,0.9138243831640058,0.9138243831640058,0.914051714051714,0.10003066062927246
GradientBoostingClassifier,0.9047619047619048,0.9045718432510885,0.9045718432510885,0.9047100321610125,0.4378373622894287
AdaBoostClassifier,0.8952380952380953,0.895500725689405,0.895500725689405,0.8951810612639939,0.2740635871887207
ExtraTreeClassifier,0.8952380952380953,0.8951378809869376,0.8951378809869376,0.8952190839133948,0.033007144927978516
DecisionTreeClassifier,0.8761904761904762,0.8762699564586357,0.8762699564586357,0.8761904761904762,0.0402987003326416
SGDClassifier,0.8761904761904762,0.875544267053701,0.875544267053701,0.8755579304981731,0.03900861740112305
MLPClassifier,0.8666666666666667,0.8671988388969522,0.8671988388969522,0.8663030303030304,0.8261849880218506
Perceptron,0.8666666666666667,0.8662917271407837,0.8662917271407837,0.8664242424242423,0.05200982093811035
BernoulliNB,0.8285714285714286,0.8269230769230769,0.8269230769230769,0.8230736255492446,0.03500628471374512
GaussianNB,0.8095238095238095,0.8100507982583455,0.8100507982583455,0.809004329004329,0.036008358001708984
NuSVC,0.7428571428571429,0.7443759071117562,0.7443759071117562,0.7363623098045978,0.10402154922485352
LinearDiscriminantAnalysis,0.6952380952380952,0.6964804063860668,0.6964804063860668,0.6901287854861916,0.4012620449066162
SVC,0.6952380952380952,0.696298984034833,0.6962989840348331,0.6915487544981309,0.08502650260925293
GaussianProcessClassifier,0.5619047619047619,0.5578737300435413,0.5578737300435413,0.4655238095238095,0.14917898178100586
KNeighborsClassifier,0.5428571428571428,0.5384615384615384,0.5384615384615384,0.4181818181818182,0.05262398719787598
QuadraticDiscriminantAnalysis,0.5333333333333333,0.5371915820029027,0.5371915820029027,0.4423280423280424,0.19204425811767578
LabelSpreading,0.5047619047619047,0.5,0.5,0.3386377335744425,0.061473846435546875
LabelPropagation,0.5047619047619047,0.5,0.5,0.3386377335744425,0.05791878700256348
DummyClassifier,0.49523809523809526,0.5,0.5,0.3280558083105854,0.031019210815429688
