Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
GradientBoostingClassifier,0.9696969696969697,0.9692095588235294,0.9692095588235294,0.9696760566325784,0.32607102394104004
XGBClassifier,0.9545454545454546,0.9549632352941176,0.9549632352941176,0.9545558918693247,0.1310112476348877
ExtraTreesClassifier,0.9545454545454546,0.9545036764705883,0.9545036764705882,0.9545454545454546,0.16704416275024414
RidgeClassifier,0.9545454545454546,0.9540441176470589,0.9540441176470589,0.9545140849488675,0.03654885292053223
LinearDiscriminantAnalysis,0.9545454545454546,0.9540441176470589,0.9540441176470589,0.9545140849488675,0.18559622764587402
RandomForestClassifier,0.946969696969697,0.9462316176470589,0.9462316176470588,0.9469056027904948,0.19098639488220215
BaggingClassifier,0.946969696969697,0.9462316176470589,0.9462316176470588,0.9469056027904948,0.07700967788696289
LinearSVC,0.9393939393939394,0.9388786764705883,0.9388786764705883,0.9393521132651568,0.2346971035003662
AdaBoostClassifier,0.9318181818181818,0.9324448529411764,0.9324448529411764,0.9318299217857273,0.1870572566986084
DecisionTreeClassifier,0.9318181818181818,0.9324448529411764,0.9324448529411764,0.9318299217857273,0.026991605758666992
RidgeClassifierCV,0.9318181818181818,0.9315257352941176,0.9315257352941176,0.9317985882156238,0.06701397895812988
CalibratedClassifierCV,0.9242424242424242,0.9246323529411764,0.9246323529411765,0.9242598197822078,0.6111440658569336
LogisticRegressionCV,0.9242424242424242,0.9241727941176471,0.9241727941176472,0.9242424242424242,0.3385047912597656
PassiveAggressiveClassifier,0.9242424242424242,0.9237132352941176,0.9237132352941176,0.9241901415814459,0.013761520385742188
LogisticRegression,0.9242424242424242,0.9237132352941176,0.9237132352941176,0.9241901415814459,0.03674507141113281
MLPClassifier,0.9090909090909091,0.9094669117647058,0.909466911764706,0.9091117837386494,0.4996483325958252
BernoulliNB,0.9015151515151515,0.8998161764705883,0.8998161764705882,0.901076884547959,0.026012897491455078
NearestCentroid,0.8939393939393939,0.8933823529411764,0.8933823529411764,0.8938661982140242,0.029819488525390625
LGBMClassifier,0.8939393939393939,0.8933823529411764,0.8933823529411764,0.8938661982140242,0.07001805305480957
ExtraTreeClassifier,0.8939393939393939,0.8933823529411764,0.8933823529411764,0.8938661982140242,0.025014162063598633
HistGradientBoostingClassifier,0.8939393939393939,0.8933823529411764,0.8933823529411764,0.8938661982140242,3.3657538890838623
NuSVC,0.8787878787878788,0.8809742647058824,0.8809742647058824,0.8783696175000523,0.052152395248413086
SVC,0.8712121212121212,0.8731617647058824,0.8731617647058824,0.8708790299686329,0.04602622985839844
Perceptron,0.8712121212121212,0.8717830882352942,0.8717830882352942,0.8712342967063739,0.03748321533203125
GaussianNB,0.8560606060606061,0.8584558823529411,0.8584558823529411,0.8554227163723566,0.026000261306762695
GaussianProcessClassifier,0.8409090909090909,0.8359375,0.8359375,0.8359372040543538,0.15602731704711914
SGDClassifier,0.8181818181818182,0.8226102941176471,0.8226102941176471,0.8147928492756079,0.027006149291992188
KNeighborsClassifier,0.803030303030303,0.8065257352941176,0.8065257352941176,0.8008417508417508,0.0380094051361084
LabelSpreading,0.7878787878787878,0.78125,0.78125,0.7762897265336289,0.045007944107055664
LabelPropagation,0.7878787878787878,0.78125,0.78125,0.7762897265336289,0.05901503562927246
QuadraticDiscriminantAnalysis,0.7424242424242424,0.7375919117647058,0.737591911764706,0.7350859017525685,0.15391278266906738
DummyClassifier,0.48484848484848486,0.5,0.5,0.3166357452071738,0.025003910064697266
