Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreesClassifier,0.9809523809523809,0.9808114035087718,0.9808114035087718,0.9809523809523809,0.14816761016845703
BernoulliNB,0.9714285714285714,0.9736842105263157,0.9736842105263157,0.9714753714753716,0.027994155883789062
NearestCentroid,0.9523809523809523,0.9544956140350878,0.9544956140350878,0.9524589524589525,0.022980928421020508
AdaBoostClassifier,0.9523809523809523,0.9528508771929824,0.9528508771929824,0.9524157076387713,0.19338297843933105
RandomForestClassifier,0.9523809523809523,0.9528508771929824,0.9528508771929824,0.9524157076387713,0.14217686653137207
GradientBoostingClassifier,0.9523809523809523,0.9528508771929824,0.9528508771929824,0.9524157076387713,0.3352193832397461
CalibratedClassifierCV,0.9428571428571428,0.944078947368421,0.9440789473684211,0.942930029154519,0.10698843002319336
HistGradientBoostingClassifier,0.9428571428571428,0.9424342105263157,0.9424342105263157,0.9428571428571428,5.4103684425354
RidgeClassifierCV,0.9333333333333333,0.9369517543859649,0.936951754385965,0.9334544463620674,0.06245255470275879
PassiveAggressiveClassifier,0.9333333333333333,0.9369517543859649,0.936951754385965,0.9334544463620674,0.031275272369384766
LogisticRegression,0.9333333333333333,0.9353070175438596,0.9353070175438597,0.9334425334425335,0.04049801826477051
XGBClassifier,0.9333333333333333,0.9336622807017544,0.9336622807017544,0.9333819906942797,1.2756974697113037
LGBMClassifier,0.9333333333333333,0.9336622807017544,0.9336622807017544,0.9333819906942797,0.07505488395690918
DecisionTreeClassifier,0.9333333333333333,0.9336622807017544,0.9336622807017544,0.9333819906942797,0.03326225280761719
LinearSVC,0.9238095238095239,0.9281798245614035,0.9281798245614036,0.9239340180516652,0.0468900203704834
BaggingClassifier,0.9238095238095239,0.924890350877193,0.924890350877193,0.9239067055393586,0.0845174789428711
LogisticRegressionCV,0.9238095238095239,0.924890350877193,0.924890350877193,0.9239067055393586,0.422499418258667
RidgeClassifier,0.9142857142857143,0.919407894736842,0.9194078947368421,0.9143945973271806,0.03424477577209473
ExtraTreeClassifier,0.9142857142857143,0.9177631578947368,0.9177631578947368,0.9144414310369439,0.02477431297302246
MLPClassifier,0.9047619047619048,0.9057017543859649,0.9057017543859649,0.9048833819241983,0.4782829284667969
Perceptron,0.8857142857142857,0.881578947368421,0.881578947368421,0.8851668596694389,0.04019737243652344
SGDClassifier,0.8857142857142857,0.8782894736842105,0.8782894736842104,0.884266553119012,0.02527785301208496
SVC,0.8571428571428571,0.850328947368421,0.8503289473684211,0.8556571110197259,0.043111562728881836
NuSVC,0.8571428571428571,0.850328947368421,0.8503289473684211,0.8556571110197259,0.04816460609436035
LinearDiscriminantAnalysis,0.8476190476190476,0.8415570175438596,0.8415570175438596,0.8463492063492064,0.18215179443359375
GaussianNB,0.8285714285714286,0.825657894736842,0.825657894736842,0.8282255528770569,0.02899479866027832
KNeighborsClassifier,0.6952380952380952,0.6699561403508771,0.6699561403508771,0.6625399455556871,0.033154964447021484
GaussianProcessClassifier,0.6,0.631578947368421,0.631578947368421,0.5442028985507247,0.12560415267944336
QuadraticDiscriminantAnalysis,0.6095238095238096,0.5844298245614035,0.5844298245614035,0.5705123122329412,0.12888836860656738
LabelSpreading,0.4666666666666667,0.5087719298245614,0.5087719298245614,0.3074410163339383,0.05025792121887207
LabelPropagation,0.4666666666666667,0.5087719298245614,0.5087719298245614,0.3074410163339383,0.05895876884460449
DummyClassifier,0.45714285714285713,0.5,0.5,0.2868347338935574,0.033351898193359375
