Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LGBMClassifier,0.9540034071550255,0.954914405496681,0.954914405496681,0.9540357572297702,0.446042537689209
ExtraTreesClassifier,0.9522998296422487,0.9534936531966927,0.9534936531966927,0.9523366917875653,3.4978394508361816
RandomForestClassifier,0.9505962521294719,0.9524572027483404,0.9524572027483406,0.9506323985894077,1.47641921043396
BaggingClassifier,0.9505962521294719,0.9518807499708862,0.9518807499708863,0.9506350007298149,1.4533600807189941
HistGradientBoostingClassifier,0.9471890971039182,0.9484627925934552,0.9484627925934552,0.9472305180215261,55.91843867301941
XGBClassifier,0.9454855195911414,0.947426342145103,0.9474263421451031,0.9455238200145984,2.4226741790771484
LogisticRegressionCV,0.9352640545144804,0.9371724700128101,0.9371724700128101,0.9353095362673355,3.3671088218688965
DecisionTreeClassifier,0.9352640545144804,0.9362117153837195,0.9362117153837196,0.9353114597191206,0.6413373947143555
CalibratedClassifierCV,0.9352640545144804,0.9342902061255387,0.9342902061255387,0.9352021293665626,17.315025806427002
LogisticRegression,0.9318568994889267,0.9333702107837429,0.9333702107837428,0.9319103304682322,0.362689733505249
AdaBoostClassifier,0.9267461669505963,0.9279550483288692,0.9279550483288692,0.9268036217717944,3.337172269821167
PassiveAggressiveClassifier,0.9216354344122658,0.9244613951321765,0.9244613951321764,0.9216427121226126,0.30922722816467285
GradientBoostingClassifier,0.9216354344122658,0.9238849423547223,0.9238849423547222,0.921676832156771,11.778886795043945
Perceptron,0.9148211243611585,0.914551065564225,0.914551065564225,0.9148211243611585,0.29982852935791016
LinearSVC,0.909710391822828,0.912402468848259,0.912402468848259,0.9097266382660446,4.116281509399414
NearestCentroid,0.9080068143100511,0.9115581693257249,0.9115581693257249,0.9079320491527505,0.22061467170715332
MLPClassifier,0.9011925042589438,0.9012635379061371,0.901263537906137,0.9012258494315976,5.102404832839966
RidgeClassifierCV,0.8960817717206133,0.8989227902643531,0.8989227902643531,0.8960817717206133,1.0046203136444092
BernoulliNB,0.8824531516183987,0.8877489227902644,0.8877489227902643,0.881928811589909,0.24136805534362793
ExtraTreeClassifier,0.8858603066439523,0.886555257948061,0.8865552579480609,0.8859405827553554,0.24302935600280762
RidgeClassifier,0.8654173764906303,0.8685454757191102,0.8685454757191103,0.8653595675953969,0.3729546070098877
NuSVC,0.8603066439522998,0.85775008734133,0.85775008734133,0.8598117473626432,4.994413375854492
LinearDiscriminantAnalysis,0.848381601362862,0.850687085128683,0.850687085128683,0.8484326464393579,3.261308193206787
SVC,0.8500851788756388,0.8473040642832188,0.8473040642832188,0.8494843249107433,4.9191060066223145
SGDClassifier,0.8126064735945485,0.8024047979503901,0.8024047979503901,0.8049818593593782,0.26106762886047363
GaussianNB,0.7955706984667802,0.7974205193897752,0.7974205193897753,0.7956786925828812,0.27474260330200195
GaussianProcessClassifier,0.6678023850085179,0.6841388144870153,0.6841388144870152,0.640222976921518,8.338035106658936
KNeighborsClassifier,0.6218057921635435,0.6417433329451496,0.6417433329451496,0.5715509158379884,0.3182079792022705
LabelSpreading,0.6047700170357752,0.6258064516129032,0.6258064516129032,0.5449375826377651,0.5291423797607422
LabelPropagation,0.6047700170357752,0.6258064516129032,0.6258064516129032,0.5449375826377651,0.5217287540435791
QuadraticDiscriminantAnalysis,0.5843270868824532,0.5893501805054151,0.5893501805054152,0.5816913130243827,1.9290595054626465
DummyClassifier,0.5281090289608177,0.5,0.5,0.3650251928157269,0.18969106674194336
