Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
PassiveAggressiveClassifier,0.9819819819819819,0.9803921568627452,0.9803921568627452,0.9819494904740806,0.031101226806640625
LogisticRegressionCV,0.9819819819819819,0.9803921568627452,0.9803921568627452,0.9819494904740806,0.35952138900756836
LogisticRegression,0.9819819819819819,0.9803921568627452,0.9803921568627452,0.9819494904740806,0.03866219520568848
RidgeClassifierCV,0.972972972972973,0.9720588235294118,0.9720588235294118,0.9729508577393364,0.06698870658874512
LinearSVC,0.972972972972973,0.9705882352941176,0.9705882352941176,0.972893070454046,0.29186320304870605
CalibratedClassifierCV,0.963963963963964,0.9637254901960784,0.9637254901960786,0.963963963963964,1.2359552383422852
RandomForestClassifier,0.963963963963964,0.9622549019607842,0.9622549019607842,0.9638989809481612,0.1738748550415039
ExtraTreesClassifier,0.963963963963964,0.9622549019607842,0.9622549019607842,0.9638989809481612,0.17064857482910156
RidgeClassifier,0.954954954954955,0.9539215686274509,0.9539215686274509,0.9549180962322278,0.03801298141479492
LinearDiscriminantAnalysis,0.954954954954955,0.9539215686274509,0.9539215686274509,0.9549180962322278,0.19389677047729492
HistGradientBoostingClassifier,0.954954954954955,0.9524509803921568,0.9524509803921567,0.9548217840900769,4.7501866817474365
AdaBoostClassifier,0.954954954954955,0.9524509803921568,0.9524509803921567,0.9548217840900769,0.271059513092041
GradientBoostingClassifier,0.954954954954955,0.9509803921568627,0.9509803921568627,0.9546949010866538,0.3462250232696533
XGBClassifier,0.9459459459459459,0.9441176470588235,0.9441176470588234,0.945848471422242,0.14977622032165527
Perceptron,0.9369369369369369,0.9372549019607843,0.9372549019607843,0.9369780974578232,0.030087947845458984
LGBMClassifier,0.9369369369369369,0.9343137254901961,0.934313725490196,0.9367504977261074,0.07645297050476074
SGDClassifier,0.9279279279279279,0.9318627450980392,0.9318627450980392,0.9280332964543491,0.031403541564941406
MLPClassifier,0.9099099099099099,0.9137254901960785,0.9137254901960785,0.9100416205679365,0.5565717220306396
DecisionTreeClassifier,0.9099099099099099,0.9034313725490195,0.9034313725490195,0.9088916043703277,0.034006357192993164
BaggingClassifier,0.9099099099099099,0.9019607843137255,0.9019607843137255,0.9084787128265389,0.09702110290527344
SVC,0.8558558558558559,0.8651960784313726,0.8651960784313726,0.8550352564666163,0.05262589454650879
NuSVC,0.8558558558558559,0.8651960784313726,0.8651960784313726,0.8550352564666163,0.05443525314331055
ExtraTreeClassifier,0.8648648648648649,0.861764705882353,0.8617647058823529,0.8644653522702301,0.03002333641052246
GaussianNB,0.8468468468468469,0.8568627450980392,0.8568627450980393,0.8457248457248456,0.03273963928222656
NearestCentroid,0.8648648648648649,0.8558823529411765,0.8558823529411764,0.8623709692411984,0.02856922149658203
BernoulliNB,0.7837837837837838,0.7647058823529411,0.7647058823529411,0.7685377685377686,0.03200817108154297
QuadraticDiscriminantAnalysis,0.7387387387387387,0.753921568627451,0.753921568627451,0.7318005015324602,0.14818239212036133
GaussianProcessClassifier,0.7657657657657657,0.7465686274509804,0.7465686274509803,0.7492492492492492,0.14358305931091309
KNeighborsClassifier,0.7027027027027027,0.6764705882352942,0.6764705882352942,0.6636713439782493,0.032288312911987305
LabelPropagation,0.6936936936936937,0.6666666666666666,0.6666666666666666,0.6509301509301509,0.05188560485839844
LabelSpreading,0.6936936936936937,0.6666666666666666,0.6666666666666666,0.6509301509301509,0.04687952995300293
DummyClassifier,0.5405405405405406,0.5,0.5,0.37932669511616884,0.027987957000732422
